gt,method1,method2
0,0.002855005,0.022240127
0,0.009104079,0.010257922
0,0.03999555,0.041169837
0,0.0044784606,0.01691125
0,0.061253164,0.08446055
1,0.788789,0.37116927
0,0.0063911784,0.00933102
0,0.0024198857,0.0030991486
0,0.0037446558,0.0042002606
0,0.010601949,0.013465754
0,0.0005809693,0.0018005419
0,0.0082568135,0.005633544
0,0.0471917,0.08893101
0,0.0040822267,0.0031964215
0,0.009035291,0.01849971
0,0.15517993,0.15514477
0,0.00093030324,0.0036847692
0,0.0019726492,0.0026014305
0,0.00057899556,0.0015451926
1,0.5912276,0.25297424
0,0.018935723,0.031152783
0,0.00033392533,0.00082431984
0,0.012008119,0.011763089
0,0.0021368596,0.0034718385
0,0.0015506934,0.0029372424
0,0.021056376,0.021410834
0,0.04208418,0.029795436
0,0.0017333298,0.0053277314
0,0.0016702294,0.0009934936
0,0.018039754,0.019583654
0,0.0031432991,0.007255153
0,0.0037169151,0.009378479
0,0.0014976285,0.0018285451
0,0.017849876,0.026764816
0,0.85036695,0.77124166
0,0.0010947139,0.0006869118
0,0.9998273,0.98359954
0,0.0046514594,0.0039060423
0,0.67036086,0.19657901
0,0.016321132,0.015050163
0,0.025684528,0.022653423
0,0.0052980864,0.008658258
0,0.096607536,0.14307296
0,0.0016535752,0.002283104
0,0.028711313,0.08309226
0,0.0015877336,0.003782675
0,0.005849453,0.037521817
0,0.0056173187,0.0036227799
0,0.0059253876,0.008602814
0,0.004886811,0.0070872623
0,0.016121387,0.027967056
0,0.0061149783,0.012673157
0,0.00085776375,0.0014648638
0,0.0085817315,0.009148548
0,0.015094298,0.02405713
0,0.0046003596,0.008814629
0,0.0022847936,0.010162321
0,0.001367949,0.0015849409
0,0.024885839,0.02704171
0,0.007881747,0.010767752
0,0.012357474,0.015652742
0,0.009922496,0.00771547
1,0.052002225,0.0132476445
0,0.0051431893,0.010229824
0,0.006328139,0.0075822016
0,0.0036513451,0.021072386
0,0.0093998695,0.009786676
0,0.0024491819,0.0076768002
0,0.0041685854,0.010380136
0,0.0021378736,0.003916403
0,0.0023520107,0.005733766
0,0.008971813,0.011107072
0,0.01891954,0.032114316
0,0.0012218456,0.0020026613
0,0.0041336343,0.0037561613
0,0.0049382215,0.0035276597
0,0.008012836,0.009651653
0,0.015933381,0.020854602
0,0.0048884037,0.010118274
0,0.00066598534,0.0015124803
0,0.003908885,0.0028152259
0,0.010462133,0.0067430474
0,0.0065300954,0.005676334
0,0.7849465,0.29264578
0,0.0019952576,0.006628278
0,0.024338357,0.044890307
0,0.0039056228,0.0055800076
0,0.0008519896,0.0014592703
0,0.0036195593,0.008899902
1,0.009845872,0.018038912
0,0.005283283,0.0035583456
0,0.002423164,0.0066899634
0,0.0017626256,0.001788032
0,0.04178474,0.045201298
0,0.02546634,0.031595144
0,0.0021513475,0.0016392065
0,0.0029980708,0.005289163
0,0.00088978995,0.0020880776
0,0.00267142,0.0056951125
0,0.008339209,0.025301013
0,0.007109705,0.02561789
0,0.0045360387,0.0071827923
0,0.0029276852,0.004064934
0,0.024040518,0.06545879
0,0.004877035,0.005017423
0,0.025764419,0.027742751
0,0.0027391135,0.0020773544
0,0.0024395415,0.004629303
0,0.0054523535,0.022560567
0,0.001026103,0.000872358
0,0.026134476,0.018832108
0,0.007972179,0.011452789
0,0.017463237,0.02177774
0,0.003249673,0.004578217
0,0.0009322979,0.0010850839
0,0.027812392,0.023062067
0,0.006370554,0.007155729
0,0.0133618405,0.037218954
0,0.0058564064,0.008687119
0,0.005797368,0.010168684
0,0.015611299,0.03160233
0,0.038641095,0.034706604
0,0.0043491246,0.004784927
0,0.012907023,0.04669195
0,0.005308002,0.007702208
0,0.09036217,0.18828058
0,0.02110539,0.029883895
0,0.01013463,0.008324702
0,0.006785023,0.0053515444
0,0.0114552835,0.012610258
0,0.009354555,0.008307552
0,0.02571388,0.029626234
0,0.42443496,0.34959394
0,0.00022670592,0.00028904813
0,0.0025348412,0.007949655
0,0.007902835,0.006304891
0,0.012950963,0.040253475
0,0.001813381,0.0067094793
0,0.13978346,0.26505116
0,0.0017252563,0.0015839346
0,0.008751621,0.017315077
